Coefficient,Estimate,Std. Error,t value,Pr(>|t|),2.5%,97.5%
"C(rel_time, contr.treatment(base=-1.0))[-2.0]:cohort_dummy_2017",-0.09102461210651494,0.04357155806408491,-2.089083249505015,0.04018643609211581,-0.1778626020987791,-0.0041866221142507765
"C(rel_time, contr.treatment(base=-1.0))[0.0]:cohort_dummy_2017",-0.222299274829149,0.03941396846357212,-5.640113987369894,3.0320520738591483e-07,-0.30085120069696164,-0.14374734896133634
"C(rel_time, contr.treatment(base=-1.0))[1.0]:cohort_dummy_2017",-0.11712482052909595,0.04238423478126442,-2.7634053353458197,0.007235044005816205,-0.20159647863119678,-0.03265316242699512
"C(rel_time, contr.treatment(base=-1.0))[2.0]:cohort_dummy_2017",-0.0663991337376976,0.06502473574983245,-1.0211365409181028,0.3105619486353153,-0.195993245198861,0.0631949777234658
"C(rel_time, contr.treatment(base=-1.0))[3.0]:cohort_dummy_2017",0.1989070632909614,0.08058680552198018,2.4682336271129293,0.01592071792160099,0.038297791501010175,0.35951633508091263
"C(rel_time, contr.treatment(base=-1.0))[4.0]:cohort_dummy_2017",-0.2689392423895236,0.08643029320982985,-3.111631725425371,0.002655246584251758,-0.441194568346532,-0.09668391643251523
"C(rel_time, contr.treatment(base=-1.0))[-4.0]:cohort_dummy_2019",-0.10887474808987015,0.28907829416814834,-0.37662719853515153,0.7075431917203621,-0.685006957524132,0.46725746134439167
"C(rel_time, contr.treatment(base=-1.0))[-3.0]:cohort_dummy_2019",-0.031691526593096986,0.13252992748825887,-0.2391273216074506,0.8116769428908788,-0.29582329117158784,0.23244023798539387
"C(rel_time, contr.treatment(base=-1.0))[-2.0]:cohort_dummy_2019",0.0314403451994588,0.1566272884518876,0.20073350889373642,0.8414651760795813,-0.2807173905210745,0.3435980809199921
"C(rel_time, contr.treatment(base=-1.0))[0.0]:cohort_dummy_2019",0.2720983865289471,0.10612846568898471,2.563858666593243,0.012409428078268059,0.06058465943570043,0.4836121136221937
"C(rel_time, contr.treatment(base=-1.0))[1.0]:cohort_dummy_2019",-0.24869599475049906,0.11862187063546153,-2.0965441989594824,0.03949943060396821,-0.4851090419946521,-0.012282947506345981
"C(rel_time, contr.treatment(base=-1.0))[2.0]:cohort_dummy_2019",-0.2976880638282013,0.11765061864954258,-2.5302719802515776,0.013553884335930189,-0.5321654086559031,-0.06321071900049952
