year,region,country,minimum_annual_leave_5day_workweek,observation_status,leave_bracket,service_basis,source,source_url
2012,Asia and Pacific,Lao People's Democratic Republic,13,exact_annex,10-14,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Malaysia,8,exact_annex,<10,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Mongolia,15,exact_annex,15-19,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Myanmar,7,exact_annex,<10,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Nepal,12,exact_annex,10-14,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,New Zealand,20,exact_annex,20-23,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Pakistan,,no_universal_minimum,no_universal_minimum,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Papua New Guinea,10,exact_annex,10-14,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Philippines,,no_universal_minimum,no_universal_minimum,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Singapore,7,exact_annex,<10,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
