country,region,ilo_2012_days_5day,ilo_status,ilo_bracket,wb_economy,wb_code,wb_2012_leave_1y,wb_2012_leave_avg,wb1_minus_ilo,abs_diff_1y,qa_class
Bulgaria,Europe and CIS,20,exact_annex,20-23,Bulgaria,BGR,20,20,0,0,close_0_1
Croatia,Europe and CIS,20,exact_annex,20-23,Croatia,HRV,20,20,0,0,close_0_1
Czech Republic,Europe and CIS,20,exact_annex,20-23,Czech Republic,CZE,20,20,0,0,close_0_1
Denmark,Europe and CIS,25,exact_annex,24-25,Denmark,DNK,25,25,0,0,close_0_1
Estonia,Europe and CIS,20,exact_annex,20-23,Estonia,EST,24,24,4,4,review_2_5
Finland,Europe and CIS,20,exact_annex,20-23,Finland,FIN,30,30,10,10,priority_review_ge5
France,Europe and CIS,25,exact_annex,24-25,France,FRA,30,30.3333333333333,5,5,priority_review_ge5
Germany,Europe and CIS,20,exact_annex,20-23,Germany,DEU,24,24,4,4,review_2_5
Hungary,Europe and CIS,20,exact_annex,20-23,Hungary,HUN,20,21.333333333333332,0,0,close_0_1
Iceland,Europe and CIS,24,exact_annex,24-25,Iceland,ISL,24,24,0,0,close_0_1
Ireland,Europe and CIS,20,exact_annex,20-23,Ireland,IRL,20,20,0,0,close_0_1
Italy,Europe and CIS,20,exact_annex,20-23,Italy,ITA,26,26,6,6,priority_review_ge5
Latvia,Europe and CIS,20,exact_annex,20-23,Latvia,LVA,20,20,0,0,close_0_1
Lithuania,Europe and CIS,20,exact_annex,20-23,Lithuania,LTU,20,20.666666666666668,0,0,close_0_1
Luxembourg,Europe and CIS,25,exact_annex,24-25,Luxembourg,LUX,25,25,0,0,close_0_1
Malta,Europe and CIS,24,exact_annex,24-25,Malta,MLT,24,24,0,0,close_0_1
Moldova,Europe and CIS,20,exact_annex,20-23,Moldova,MDA,20,20,0,0,close_0_1
Netherlands,Europe and CIS,20,exact_annex,20-23,Netherlands,NLD,20,20,0,0,close_0_1
Norway,Europe and CIS,21,exact_annex,20-23,Norway,NOR,21,21,0,0,close_0_1
Portugal,Europe and CIS,22,exact_annex,20-23,Portugal,PRT,22,22,0,0,close_0_1
Romania,Europe and CIS,20,exact_annex,20-23,Romania,ROM,20,20,0,0,close_0_1
Russian Federation,Europe and CIS,20,exact_annex,20-23,Russian Federation Moscow,RUS,22,22,2,2,moderate_1_2
San Marino,Europe and CIS,10,exact_annex,10-14,San Marino,SMR,26,26,16,16,priority_review_ge5
Serbia,Europe and CIS,20,exact_annex,20-23,Serbia,SRB,20,20,0,0,close_0_1
Slovenia,Europe and CIS,20,exact_annex,20-23,Slovenia,SVN,20,21,0,0,close_0_1
Spain,Europe and CIS,21,exact_annex,20-23,Spain,ESP,22,22,1,1,close_0_1
