cohort,country,measure,start_year,end_year,slope_pre2019,ci_pre2019_raw,slope_with_covid,ci_with_covid_raw,source_url
1980s,Italy,ls11,1983,2018,0.009,-0.013–+0.030,,,https://www.intechopen.com/chapters/86319
1980s,Italy,ls4,1980,2021,-0.006,-0.014–+0.001,-0.006,-0.013–0.000,https://www.intechopen.com/chapters/86319
1980s,Japan,ls4,1980,2013,-0.003,-0.008–+0.003,,,https://www.intechopen.com/chapters/86319
1980s,Japan,ls5,1981,2005,-0.006,-0.046–+0.034,,,https://www.intechopen.com/chapters/86319
1980s,Japan,ls10+11,1981,2019,0.029,-0.005–+0.028,,,https://www.intechopen.com/chapters/86319
1980s,Korea (South),bw11,1981,2020,0.046,+0.015–+0.076,-0.015,-0.4601–+0.012,https://www.intechopen.com/chapters/86319
1980s,Luxembourg,ls4,1980,2021,0.003,-0.001–+0.007,0,-0.005–+0.004,https://www.intechopen.com/chapters/86319
1980s,Luxembourg,hl3,1982,2008,-0.013,-0.035–+0.009,,,https://www.intechopen.com/chapters/86319
1980s,Luxembourg,ls10+11,1983,2018,0.008,-0.004–+0.019,,,https://www.intechopen.com/chapters/86319
1980s,Netherlands,ls10,1981,2019,0.002,-0.006–+0.011,0.043,+0.014–+0.072,https://www.intechopen.com/chapters/86319
1980s,Netherlands,ls4,1980,2021,0.011,+0.007–+0.016,0.011,+0.007–+0.014,https://www.intechopen.com/chapters/86319
1980s,Netherlands,ls5,1980,2012,-0.005,-0.018–+0.008,,,https://www.intechopen.com/chapters/86319
1980s,Netherlands,ls11,1983,2018,0.004,-0.010–+0.017,,,https://www.intechopen.com/chapters/86319
1980s,Netherlands,hl5,1980,2019,-0.005,-0.018–+0.008,,,https://www.intechopen.com/chapters/86319
1980s,Norway,ls10+11,1981,2018,0.008,-0.003–+0.019,0.002,-0.006–+0.011,https://www.intechopen.com/chapters/86319
1980s,Norway,hl4,1981,2018,0,-0.020–+0.021,,,https://www.intechopen.com/chapters/86319
1980s,Portugal,ls4,1985,2021,-0.016,-0.030–-0.001,-0.015,-0.029–-0.001,https://www.intechopen.com/chapters/86319
1980s,South Africa,hl5,1983,2015,-0.006,-0.039–+0.026,,,https://www.intechopen.com/chapters/86319
1980s,South Africa,ls5,1983,2015,-0.015,-0.048–+0.018,,,https://www.intechopen.com/chapters/86319
1980s,South Africa,ls10+11,1981,2013,0.009,-0.026–+0.043,,,https://www.intechopen.com/chapters/86319
1980s,Spain,ls4,1985,2021,0.002,-0.008–+0.012,0.005,-0.004–+0.014,https://www.intechopen.com/chapters/86319
1980s,Spain,ls10+11,1981,2018,0.024,+0.007–+0.041,,,https://www.intechopen.com/chapters/86319
1980s,Sweden,ls10,1982,2017,0.001,-0.010–+0.012,,,https://www.intechopen.com/chapters/86319
1980s,UK,ls11,1983,2018,0.01,+0.003–+0.016,,,https://www.intechopen.com/chapters/86319
1980s,UK,ls4,1980,2020,0.016,+0.012–+0.021,0.015,+0.011–+0.019,https://www.intechopen.com/chapters/86319
1980s,USA,ls10+11,1981,2017,-0.018,-0.037–+0.001,,,https://www.intechopen.com/chapters/86319
1980s,USA,bw11,1980,2021,0.018,+0.011–+0.025,0.016,+0.010–+0.023,https://www.intechopen.com/chapters/86319
1980s,USA,hl3,1980,2010,0.007,-0.003–+0.018,,,https://www.intechopen.com/chapters/86319
1980s,USA,hl4,1981,2017,-0.004,-0.019–+0.011,,,https://www.intechopen.com/chapters/86319
1990s,Argentina,ls4,1997,2020,0.018,0.000–+0.037,0.012,-0.006–+0.030,https://www.intechopen.com/chapters/86319
1990s,Austria,ls4,1995,2021,0.005,-0.010–+0.021,0.005,-0.008–+0.019,https://www.intechopen.com/chapters/86319
1990s,Belgium,ls4,1990,2021,0.008,-0.002–+0.018,0.007,-0.003–+0.017,https://www.intechopen.com/chapters/86319
1990s,Belgium,ls11,1990,2018,-0.013,-0.028–+0.001,,,https://www.intechopen.com/chapters/86319
1990s,Bolivia,ls4,1997,2020,-0.014,-0.055–+0.028,-0.01,-0.046–+0.027,https://www.intechopen.com/chapters/86319
1990s,Brazil,ls4,1997,2020,-0.047,-0.116–+0.023,-0.043,-0.104–+0.018,https://www.intechopen.com/chapters/86319
1990s,Canada,ls10,1990,2020,0.004,-0.032–+0.039,-0.026,-0.064–+0.012,https://www.intechopen.com/chapters/86319
1990s,Chile,ls4,1997,2020,-0.031,-0.059–-0.003,-0.031,-0.056–-0.006,https://www.intechopen.com/chapters/86319
1990s,China,bw11,1999,2020,0.034,+0.002–+0.066,0.04,+0.010–+0.070,https://www.intechopen.com/chapters/86319
1990s,Colombia,ls4,1997,2020,0.024,-0.004–+0.051,0.022,-0.002–+0.046,https://www.intechopen.com/chapters/86319
1990s,Costa Rica,ls4,1990,2020,-0.02,-0.051–+0.011,-0.018,-0.046–+0.010,https://www.intechopen.com/chapters/86319
1990s,Croatia,ls10+11,1995,2018,0.027,-0.009–+0.063,,,https://www.intechopen.com/chapters/86319
1990s,Denmark,ls4,1990,2021,0.011,+0.008–+0.014,0.007,+0.002–+0.013,https://www.intechopen.com/chapters/86319
1990s,Ecuador,ls4,1997,2020,0.018,-0.023–+0.060,0.022,-0.002–+0.046,https://www.intechopen.com/chapters/86319
1990s,El Salvador,ls4,1991,2020,-0.042,-0.073–-0.011,-0.03,-0.061–+0.001,https://www.intechopen.com/chapters/86319
1990s,Finland,ls4,1990,2021,0.016,+0.009–+0.023,0.021,-0.015–+0.057,https://www.intechopen.com/chapters/86319
1990s,France,ls4,1990,2021,0.024,+0.018–+0.030,0.023,+0.017–+0.028,https://www.intechopen.com/chapters/86319
1990s,Germany,ls4,1990,2021,0.027,+0.016–+0.039,0.011,+0.003–+0.019,https://www.intechopen.com/chapters/86319
1990s,Germany,ls11,1990,2018,0.006,-0.014–+0.026,0.029,+0.019–+0.039,https://www.intechopen.com/chapters/86319
1990s,Greece,ls4,1990,2021,-0.038,-0.057–-0.019,-0.028,-0.047–-0.009,https://www.intechopen.com/chapters/86319
1990s,Honduras,ls4,1997,2020,-0.005,-0.045–+0.036,-0.002,-0.037–+0.034,https://www.intechopen.com/chapters/86319
1990s,Hungary,ls11,1992,2018,0.012,-0.005–+0.028,-0.002,-0.037–+0.034,https://www.intechopen.com/chapters/86319
1990s,Ireland,ls4,1990,2021,0.009,-0.001–+0.019,0.005,-0.004–+0.015,https://www.intechopen.com/chapters/86319
1990s,Ireland,ls11,1990,2018,0.001,-0.067–+0.070,,,https://www.intechopen.com/chapters/86319
1990s,Italy,ls11,1991,2018,-0.012,-0.032–+0.008,,,https://www.intechopen.com/chapters/86319
1990s,Italy,ls4,1990,2021,-0.026,-0.035–-0.018,-0.024,-0.032–-0.016,https://www.intechopen.com/chapters/86319
1990s,Japan,ls10+11,1990,2019,0.014,-0.012–+0.039,,,https://www.intechopen.com/chapters/86319
1990s,Japan,ls4,1990,2013,-0.011,-0.025–+0.003,,,https://www.intechopen.com/chapters/86319
1990s,Luxembourg,ls4,1990,2021,-0.001,-0.008–+0.005,-0.006,-0.013–+0.001,https://www.intechopen.com/chapters/86319
1990s,Mexico,ls4,1997,2020,-0.003,-0.032–+0.025,0,-0.025–+0.026,https://www.intechopen.com/chapters/86319
1990s,Netherlands,ls4,1990,2021,0.013,+0.007–+0.020,0.012,+0.006–+0.017,https://www.intechopen.com/chapters/86319
1990s,Netherlands,ls5,1990,2012,-0.023,-0.043–-0.003,,,https://www.intechopen.com/chapters/86319
1990s,Netherlands,ls11,1991,2018,-0.008,-0.024–+0.008,,,https://www.intechopen.com/chapters/86319
1990s,Netherlands,hl5,1990,2019,-0.016,-0.023–-0.008,,,https://www.intechopen.com/chapters/86319
1990s,Netherlands,ls10,1990,2019,0.001,-0.011–+0.014,,,https://www.intechopen.com/chapters/86319
1990s,Nicaragua,ls4,1991,2020,-0.011,-0.038–+0.016,-0.005,-0.030–+0.020,https://www.intechopen.com/chapters/86319
1990s,Norway,ls10+11,1990,2018,0.008,-0.008–+0.024,,,https://www.intechopen.com/chapters/86319
1990s,Norway,hl4,1990,2018,0.021,-0.010–+0.052,,,https://www.intechopen.com/chapters/86319
1990s,Panama,ls4,1997,2020,0.046,+0.007–+0.086,0.04,+0.004–+0.075,https://www.intechopen.com/chapters/86319
1990s,Paraguay,ls4,1996,2020,-0.056,-0.093–-0.019,-0.049,-0.083–-0.015,https://www.intechopen.com/chapters/86319
1990s,Peru,ls4,1997,2020,0.056,+0.024–+0.088,0.04,+0.004–+0.075,https://www.intechopen.com/chapters/86319
1990s,Poland,hl4,1990,2017,0.032,-0.004–+0.068,,,https://www.intechopen.com/chapters/86319
1990s,Poland,bw11,1991,2020,0.041,+0.028–+0.053,0.04,+0.029–+0.052,https://www.intechopen.com/chapters/86319
1990s,Poland,ls10+11,1990,2018,0.055,+0.033–+0.077,,,https://www.intechopen.com/chapters/86319
1990s,Portugal,ls4,1990,2021,-0.02,-0.038–-0.001,-0.018,-0.036–+0.001,https://www.intechopen.com/chapters/86319
1990s,Romania,hl4,1990,2018,0.042,-0.004–+0.089,,,https://www.intechopen.com/chapters/86319
1990s,Romania,ls4,1998,2021,0.065,+0.040–+0.089,0.059,+0.031–+0.087,https://www.intechopen.com/chapters/86319
1990s,Romania,ls10+11,1990,2018,0.096,+0.045–+0.148,,,https://www.intechopen.com/chapters/86319
1990s,Russia,ls10+11,1990,2017,0.05,+0.013–+0.086,,,https://www.intechopen.com/chapters/86319
1990s,South Africa,hl5,1994,2015,0,-0.049–+0.050,,,https://www.intechopen.com/chapters/86319
1990s,South Africa,ls5,1994,2015,-0.012,-0.064–+0.041,,,https://www.intechopen.com/chapters/86319
1990s,South Africa,ls10+11,1990,2013,0.023,-0.028–+0.074,,,https://www.intechopen.com/chapters/86319
1990s,Spain,ls4,1990,2021,0.002,-0.011–+0.015,,,https://www.intechopen.com/chapters/86319
1990s,Spain,ls10+11,1990,2018,0.021,-0.003–+0.045,,,https://www.intechopen.com/chapters/86319
1990s,Sweden,ls11,1999,2018,0.001,-0.010–+0.012,,,https://www.intechopen.com/chapters/86319
1990s,Sweden,ls4,1995,2021,0.017,+0.011–+0.024,0.012,+0.004–+0.019,https://www.intechopen.com/chapters/86319
1990s,UK,ls4,1990,2020,0.025,+0.021–+0.030,0.023,+0.018–+0.028,https://www.intechopen.com/chapters/86319
1990s,UK,ls4,1990,2020,0.025,+0.021–+0.030,0.023,+0.018–+0.028,https://www.intechopen.com/chapters/86319
1990s,USA,hl3,1990,2010,-0.007,-0.016–+0.030,,,https://www.intechopen.com/chapters/86319
1990s,USA,hl4,1990,2017,-0.007,-0.026–+0.013,,,https://www.intechopen.com/chapters/86319
1990s,USA,ls10+11,1990,2017,-0.016,-0.049–+0.018,,,https://www.intechopen.com/chapters/86319
1990s,USA,bw11,1998,2021,0.003,-0.012–+0.018,0.002,-0.011–+0.014,https://www.intechopen.com/chapters/86319
1990s,Uruguay,ls4,1997,2020,0.001,-0.031–+0.034,0.008,-0.021–+0.038,https://www.intechopen.com/chapters/86319
1990s,Venezuela,ls4,1997,2020,-0.075,-0.120–-0.029,-0.074,-0.113–-0.034,https://www.intechopen.com/chapters/86319
2000s,Argentina,ls4,2000,2020,0.023,+0.002–+0.044,0.015,-0.006–+0.035,https://www.intechopen.com/chapters/86319
2000s,Austria,ls4,2000,2021,0.022,+0.001–+0.042,0.019,+0.002–+0.036,https://www.intechopen.com/chapters/86319
2000s,Belgium,ls4,2000,2021,0.018,0.000–+0.036,0.014,-0.002–+0.031,https://www.intechopen.com/chapters/86319
2000s,Bolivia,ls4,2000,2020,-0.001,-0.051–+0.049,0.003,-0.041–+0.046,https://www.intechopen.com/chapters/86319
2000s,Brazil,ls4,2000,2020,-0.039,-0.120–+0.042,-0.036,-0.106–+0.034,https://www.intechopen.com/chapters/86319
2000s,Canada,bw11,2000,2020,-0.002,-0.024–+0.019,-0.008,-0.027–+0.012,https://www.intechopen.com/chapters/86319
2000s,Chile,ls4,2000,2020,-0.025,-0.057–+0.007,-0.026,-0.054–+0.002,https://www.intechopen.com/chapters/86319
2000s,China,bw11,2000,2020,0.02,-0.015–+0.055,0.029,-0.004–+0.062,https://www.intechopen.com/chapters/86319
2000s,Colombia,ls4,2000,2020,0.024,-0.008–+0.056,0.022,-0.005–+0.050,https://www.intechopen.com/chapters/86319
2000s,Costa Rica,ls4,2000,2020,-0.009,-0.023–+0.005,-0.008,-0.020–+0.004,https://www.intechopen.com/chapters/86319
2000s,Croatia,ls4,2004,2021,0.004,-0.008–+0.016,0.018,+0.003–+0.032,https://www.intechopen.com/chapters/86319
2000s,Denmark,ls4,2000,2021,0.021,+0.017–+0.025,0.011,0.000–+0.023,https://www.intechopen.com/chapters/86319
2000s,Ecuador,ls4,2000,2020,0.019,-0.029–+0.066,0.021,-0.020–+0.063,https://www.intechopen.com/chapters/86319
2000s,El Salvador,ls4,2000,2020,-0.013,-0.060–+0.034,0.003,-0.042–+0.048,https://www.intechopen.com/chapters/86319
2000s,Estonia,ls4,2001,2021,0.064,+0.045–+0.083,0.055,+0.038–+0.072,https://www.intechopen.com/chapters/86319
2000s,Finland,ls4,2000,2021,0.029,+0.016–+0.042,0.013,-0.004–+0.030,https://www.intechopen.com/chapters/86319
2000s,France,ls4,2000,2021,0.018,+0.007–+0.028,0.016,+0.007–+0.025,https://www.intechopen.com/chapters/86319
2000s,Germany,ls4,2000,2021,0.056,+0.047–+0.065,0.053,+0.045–+0.061,https://www.intechopen.com/chapters/86319
2000s,Greece,ls4,2000,2021,-0.078,-0.113–-0.042,-0.049,-0.086–-0.011,https://www.intechopen.com/chapters/86319
2000s,Honduras,ls4,2000,2020,-0.011,-0.058–+0.036,-0.007,-0.048–+0.034,https://www.intechopen.com/chapters/86319
2000s,Hungary,ls4,2000,2021,0.035,0.000–+0.069,0.05,+0.019–+0.081,https://www.intechopen.com/chapters/86319
2000s,Ireland,ls4,2000,2021,0.016,-0.007–+0.038,0.007,-0.013–+0.027,https://www.intechopen.com/chapters/86319
2000s,Italy,ls4,2000,2021,-0.039,-0.056–-0.020,-0.031,-0.046–-0.015,https://www.intechopen.com/chapters/86319
2000s,Japan,bw11,2000,2020,-0.018,-0.039–+0.003,-0.013,-0.033–+0.006,https://www.intechopen.com/chapters/86319
2000s,Latvia,ls4,2001,2021,0.058,+0.043–+0.072,0.055,+0.038–+0.072,https://www.intechopen.com/chapters/86319
2000s,Luxembourg,ls4,2000,2021,0.003,-0.009–+0.015,-0.009,-0.023–+0.005,https://www.intechopen.com/chapters/86319
2000s,Mexico,ls4,2000,2020,0.006,-0.025–+0.038,0.009,-0.018–+0.037,https://www.intechopen.com/chapters/86319
2000s,Netherlands,ls4,2000,2021,0.028,+0.018–+0.038,0.022,+0.012–+0.032,https://www.intechopen.com/chapters/86319
2000s,Nicaragua,ls4,2000,2020,0.023,-0.017–+0.062,0.027,-0.006–+0.061,https://www.intechopen.com/chapters/86319
2000s,Panama,ls4,2000,2020,0.05,+0.004–+0.097,0.042,+0.001–+0.083,https://www.intechopen.com/chapters/86319
2000s,Paraguay,ls4,2000,2020,-0.024,-0.060–+0.013,-0.018,-0.051–+0.014,https://www.intechopen.com/chapters/86319
2000s,Peru,ls4,2000,2020,0.064,+0.027–+0.100,0.066,+0.035–+0.098,https://www.intechopen.com/chapters/86319
2000s,Poland,ls4,2001,2021,0.052,+0.041–+0.063,0.051,+0.042–+0.060,https://www.intechopen.com/chapters/86319
2000s,Portugal,ls4,2000,2021,0.003,-0.038–+0.045,0.003,-0.035–+0.041,https://www.intechopen.com/chapters/86319
2000s,Romania,ls4,2000,2021,0.061,+0.035–+0.087,0.008,-0.002–+0.018,https://www.intechopen.com/chapters/86319
2000s,Spain,ls4,2000,2021,-0.015,-0.041–+0.011,-0.003,-0.027–+0.020,https://www.intechopen.com/chapters/86319
2000s,Sweden,ls4,2000,2021,0.016,+0.007–+0.025,0.008,-0.002–+0.018,https://www.intechopen.com/chapters/86319
2000s,UK,ls4,2000,2020,0.034,+0.027–+0.041,0.028,+0.019–+0.038,https://www.intechopen.com/chapters/86319
2000s,Uruguay,ls4,2000,2020,0.014,-0.021–+0.048,0.02,-0.011–+0.051,https://www.intechopen.com/chapters/86319
2000s,USA,bw11,2001,2021,0.005,-0.012–+0.022,0.003,-0.011–+0.017,https://www.intechopen.com/chapters/86319
2000s,Venezuela,ls4,2000,2020,-0.044,-0.146–-0.061,-0.098,-0.135–-0.061,https://www.intechopen.com/chapters/86319
