cohort,country,hours_entity,measure,measure_family,start_year,end_year,happiness_slope,hours_n,hours_first_year,hours_last_year,hours_observed_span,hours_slope_per_year,hours_change_per_decade,eligible,source_url
1980s,South Africa,South Africa,ls5,life_satisfaction,1983,2015,-0.015,14,2001,2014,13,-14.44698901098901,-144.4698901098901,true,https://www.intechopen.com/chapters/86319
1980s,South Africa,South Africa,ls10+11,life_satisfaction,1981,2013,0.009,13,2001,2013,12,-14.764340659340663,-147.64340659340664,true,https://www.intechopen.com/chapters/86319
1980s,Spain,Spain,ls4,life_satisfaction,1985,2021,0.002,37,1985,2021,36,-3.107121858700807,-31.071218587008072,true,https://www.intechopen.com/chapters/86319
1980s,Spain,Spain,ls10+11,life_satisfaction,1981,2018,0.024,38,1981,2018,37,-3.3478630047051112,-33.47863004705111,true,https://www.intechopen.com/chapters/86319
1980s,Sweden,Sweden,ls10,life_satisfaction,1982,2017,0.001,36,1982,2017,35,2.59047232947233,25.9047232947233,true,https://www.intechopen.com/chapters/86319
1980s,UK,United Kingdom,ls11,life_satisfaction,1983,2018,0.01,36,1983,2018,35,-3.024660231660231,-30.24660231660231,true,https://www.intechopen.com/chapters/86319
1980s,UK,United Kingdom,ls4,life_satisfaction,1980,2020,0.016,41,1980,2020,40,-3.351571428571428,-33.51571428571428,true,https://www.intechopen.com/chapters/86319
1980s,USA,United States,ls10+11,life_satisfaction,1981,2017,-0.018,37,1981,2017,36,-1.2298767188240882,-12.298767188240882,true,https://www.intechopen.com/chapters/86319
1980s,USA,United States,bw11,best_worst_life,1980,2021,0.018,42,1980,2021,41,-1.3408013937282226,-13.408013937282226,true,https://www.intechopen.com/chapters/86319
1980s,USA,United States,hl3,happiness,1980,2010,0.007,31,1980,2010,30,-0.3615443548387109,-3.615443548387109,true,https://www.intechopen.com/chapters/86319
1980s,USA,United States,hl4,happiness,1981,2017,-0.004,37,1981,2017,36,-1.2298767188240882,-12.298767188240882,true,https://www.intechopen.com/chapters/86319
