event_id,country,whr_country,legal_effective_year,reference_year,transition_year_excluded,event_time,calendar_year,life_ladder,treated_change_from_ref,donor_mean_change_from_ref,donor_adjusted_gap,donor_n,period
LUX_EW2020,Luxembourg,Luxembourg,2019,2018,,-4,2015,6.701571464538574,-0.5410594940185547,-0.14161853030719587,-0.39944096371135884,113,pre
LUX_EW2020,Luxembourg,Luxembourg,2019,2018,,-3,2016,6.96734094619751,-0.27529001235961914,-0.14035288563796453,-0.13493712672165462,112,pre
LUX_EW2020,Luxembourg,Luxembourg,2019,2018,,-2,2017,7.061380863189697,-0.18125009536743164,-0.0657924097827357,-0.11545768558469593,117,pre
LUX_EW2020,Luxembourg,Luxembourg,2019,2018,,-1,2018,7.242630958557129,0.0,0.0,0.0,118,pre
LUX_EW2020,Luxembourg,Luxembourg,2019,2018,,0,2019,7.40401554107666,0.16138458251953125,0.005295466154049604,0.15608911636548164,117,post
LUX_EW2020,Luxembourg,Luxembourg,2019,2018,,3,2022,7.227934837341309,-0.014696121215820312,-0.07675285268538069,0.06205673146956038,101,post
TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,-4,2013,6.340344429016113,-0.17250633239746094,-0.036644785027754936,-0.13586154736970601,114,pre
TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,-3,2014,6.363496780395508,-0.1493539810180664,0.00893541482778696,-0.15828939584585336,117,pre
TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,-2,2015,6.450088024139404,-0.06276273727416992,-0.004576325416564941,-0.05818641185760498,118,pre
TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,-1,2016,6.512850761413574,0.0,0.0,0.0,121,pre
TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,0,2017,6.359450817108154,-0.15339994430541992,0.0757155319875922,-0.22911547629301213,121,post
TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,1,2018,6.467004776000977,-0.045845985412597656,0.1154788029499543,-0.16132478836255196,117,post
TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,2,2019,6.537089824676514,0.024239063262939453,0.1332059587751116,-0.10896689551217215,119,post
TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,3,2020,6.751067638397217,0.23821687698364258,0.12711537127592126,0.11110150570772132,98,post
TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,4,2021,6.246744155883789,-0.26610660552978516,0.07785313697088332,-0.34395974250066846,105,post
