whr_country,wb_code,wb_economy_label,match_status,match_method
Namibia,NAM,Namibia,matched,normalized_name
Nepal,NPL,Nepal,matched,normalized_name
Netherlands,NLD,Netherlands,matched,normalized_name
New Zealand,NZL,New Zealand,matched,normalized_name
Nicaragua,NIC,Nicaragua,matched,normalized_name
Niger,NER,Niger,matched,normalized_name
Nigeria,NGA,Nigeria Lagos,matched,curated_alias_or_base_code
North Macedonia,MKD,North Macedonia,matched,normalized_name
Norway,NOR,Norway,matched,normalized_name
Oman,OMN,Oman,matched,normalized_name
Pakistan,PAK,Pakistan Karachi,matched,curated_alias_or_base_code
Panama,PAN,Panama,matched,normalized_name
Paraguay,PRY,Paraguay,matched,normalized_name
Peru,PER,Peru,matched,normalized_name
Philippines,PHL,Philippines,matched,normalized_name
Poland,POL,Poland,matched,normalized_name
Portugal,PRT,Portugal,matched,normalized_name
Qatar,QAT,Qatar,matched,normalized_name
Romania,ROM,Romania,matched,normalized_name
Russia,RUS,Russian Federation Moscow,matched,curated_alias_or_base_code
Rwanda,RWA,Rwanda,matched,normalized_name
Saudi Arabia,SAU,Saudi Arabia,matched,normalized_name
Senegal,SEN,Senegal,matched,normalized_name
Serbia,SRB,Serbia,matched,normalized_name
Sierra Leone,SLE,Sierra Leone,matched,normalized_name
Singapore,SGP,Singapore,matched,normalized_name
Slovakia,SVK,Slovak Republic,matched,curated_alias_or_base_code
Slovenia,SVN,Slovenia,matched,normalized_name
Somalia,SOM,Somalia,matched,normalized_name
Somaliland region,,,unmatched,unmatched
South Africa,ZAF,South Africa,matched,normalized_name
South Korea,KOR,"Korea, Rep.",matched,curated_alias_or_base_code
South Sudan,SSD,South Sudan,matched,normalized_name
Spain,ESP,Spain,matched,normalized_name
Sri Lanka,LKA,Sri Lanka,matched,normalized_name
State of Palestine,,,unmatched,unmatched
Sudan,SDN,Sudan,matched,normalized_name
Suriname,SUR,Suriname,matched,normalized_name
Sweden,SWE,Sweden,matched,normalized_name
Switzerland,CHE,Switzerland,matched,normalized_name
Syria,SYR,Syrian Arab Republic,matched,curated_alias_or_base_code
Taiwan Province of China,TWN,"Taiwan, China",matched,curated_alias_or_base_code
Tajikistan,TJK,Tajikistan,matched,normalized_name
Tanzania,TZA,Tanzania,matched,normalized_name
Thailand,THA,Thailand,matched,normalized_name
Togo,TGO,Togo,matched,normalized_name
Trinidad and Tobago,TTO,Trinidad and Tobago,matched,normalized_name
Tunisia,TUN,Tunisia,matched,normalized_name
Turkiye,TUR,Turkey,matched,curated_alias_or_base_code
Turkmenistan,,,unmatched,unmatched
Uganda,UGA,Uganda,matched,normalized_name
Ukraine,UKR,Ukraine,matched,normalized_name
United Arab Emirates,ARE,United Arab Emirates,matched,normalized_name
United Kingdom,GBR,United Kingdom,matched,normalized_name
United States,USA,United States New York City,matched,curated_alias_or_base_code
Uruguay,URY,Uruguay,matched,normalized_name
Uzbekistan,UZB,Uzbekistan,matched,normalized_name
Venezuela,VEN,"Venezuela, RB",matched,curated_alias_or_base_code
Vietnam,VNM,Vietnam,matched,normalized_name
Yemen,YEM,"Yemen, Rep.",matched,curated_alias_or_base_code
Zambia,ZMB,Zambia,matched,normalized_name
Zimbabwe,ZWE,Zimbabwe,matched,normalized_name
